id,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
978,603001,奥康国际,0.97,51.09,,9.79,,39022.78,51.1,,04-26
979,600103,青山纸业,-0.14,-634.88,,-12.52,,-14651.58,-635.71,,04-26
980,002183,怡亚通,0.48,50.0,,11.44,,49243.34,57.69,10派2.5转10,04-26
981,000830,鲁西化工,0.18,-28.0,,3.91,,28931.38,-19.87,,04-26
982,300264,佳创视讯,0.03,-62.5,,1.17,,716.69,-62.04,10转8,04-26
983,600137,浪莎股份,-0.21,-1165.0,,-4.59,,-2068.31,-1155.97,,04-26
984,000048,康达尔,0.52,79.31,,33.05,,20398.44,79.25,10派1.066,04-26
985,300280,南通锻压,0.05,107.17,,1.0,,628.11,107.43,,04-26
986,000078,海王生物,0.65,1896.31,,28.16,,47473.21,1895.38,10转15,04-26
987,300022,吉峰农机,0.04,-103.24,,12.23,,1269.14,-103.28,,04-26
988,000566,海南海药,0.36,9.09,,9.25,,19527.13,19.96,10转10,04-26
989,300399,京天利,0.22,-61.4,,7.83,,3400.23,-8.92,,04-26
990,300447,全信股份,0.97,19.23,,15.9,,7177.19,45.72,,04-26
991,300464,星徽精密,0.5,-23.08,,9.86,,3601.54,-11.05,,04-26
992,300189,神农基因,0.01,-103.38,,0.59,,747.75,-108.45,10派0.02,04-26
993,002493,荣盛石化,0.16,-151.61,,5.25,,35212.33,-201.44,,04-26
994,002526,山东矿机,-0.5,-10328.57,,-14.73,,-26765.46,-10299.18,,04-26
995,600891,秋林集团,0.42,200.0,,10.5,,23354.17,416.8,10派0.8,04-26
996,000422,湖北宜化,0.04,11.43,,0.58,,3539.6,14.08,10派0.1,04-26
997,300048,合康新能,0.15,15.38,,3.37,,5192.43,18.79,10派0.5转10,04-26
998,002627,宜昌交运,0.36,-24.52,,5.25,,4781.27,-24.51,,04-26
999,300404,博济医药,0.2,-73.58,,7.19,,2566.38,-32.4,,04-26
1000,002659,中泰桥梁,0.01,-75.0,,0.47,,286.38,-77.88,,04-26
1001,002065,东华软件,0.74,5.75,,15.28,,114187.84,9.94,10派1.5,04-26
1002,002386,天原集团,0.02,-80.68,,0.41,,1636.16,-73.01,,04-26
1003,002097,山河智能,-0.04,-370.63,,-1.22,,-2924.0,-547.4,,04-26
1004,600792,云煤能源,-0.7,-1850.0,,-22.57,,-69684.77,-1938.99,,04-26
1005,300194,福安药业,0.24,33.33,,3.33,,6489.94,41.99,,04-26
1006,002129,中环股份,0.09,-39.48,,2.92,,20207.69,52.96,10派0.2,04-26
1007,600809,山西汾酒,0.6,46.34,,12.52,,52060.29,46.34,10派3.2,04-26
1008,300226,上海钢联,-1.61,-1437.21,,-99.22,,-25038.53,-1433.56,,04-26
1009,600863,内蒙华电,0.12,-47.83,,6.68,,69914.65,-48.69,10派0.6,04-26
1010,002611,东方精工,0.11,-54.17,,7.2,,6483.82,-22.91,,04-26
1011,300409,道氏技术,0.52,-63.89,,8.92,,5091.2,-29.56,,04-26
1012,300102,乾照光电,-0.15,-178.95,,-4.85,,-9021.13,-261.38,,04-26
1013,002038,双鹭药业,0.84,-44.76,,17.04,,57504.91,-17.27,10派2,04-26
1014,002070,*ST众和,-0.23,-1200.48,,-18.95,,-14682.11,-1200.3,,04-26
